---config@码表分类=主码-1
---config@码表别名= 符号编码
$ddcmd(💔,💔)	oiux#序15111
$ddcmd(👣🐎👀🌸,👣🐎👀🌸)	oizm#序15108
$ddcmd(）,）)	oj#序16295
$ddcmd(《,《)	ok#序16294
$ddcmd(》,》)	ol#序16293
$ddcmd(〕,〕)	om#序16291
$ddcmd(〔,〔)	on#序16292
$ddcmd(㎡,㎡)	op#序16303
$ddcmd(‰,‰)	oq#序16301
$ddcmd(amkeyboard(<37.2><111>),Q傲慢)	oqam#序15564
$ddcmd(aiqkeyboard(<37.3><111>),Q爱情)	oqaq#序15563
$ddcmd(bbkeyboard(<37.2><111>),Q便便)	oqbb#序15562
$ddcmd(bqkeyboard(<37.2><111>),Q抱拳)	oqbq#序15561
$ddcmd(bskeyboard(<37.2><111>),Q鄙视)	oqbu#序15476
$ddcmd(baiykeyboard(<37.4><111>),Q白眼)	oqby#序15560
$ddcmd(bzkeyboard(<37.2><111>),Q闭嘴)	oqbz#序15559
$ddcmd(cdkeyboard(<37.2><111>),Q菜刀)	oqcd#序15558
$ddcmd(chkeyboard(<37.2><111>),Q擦汗)	oqch#序15557
$ddcmd(cykeyboard(<37.2><111>),Q呲牙)	oqcy#序15556
$ddcmd(dbkeyboard(<37.2><111>),Q大兵)	oqdb#序15555
$ddcmd(dgkeyboard(<37.2><111>),Q蛋糕)	oqdg#序15554
$ddcmd(dkkeyboard(<37.2><111>),Q大哭)	oqdk#序15553
$ddcmd(dxkeyboard(<37.2><111>),Q凋谢)	oqdx#序15552
$ddcmd(dykeyboard(<37.2><111>),Q得意)	oqdy#序15551
$ddcmd(fdkeyboard(<37.2><111>),Q发呆)	oqfd#序15550
$ddcmd(fendoukeyboard(<37.6><111>),Q奋斗)	oqfd#序15549
$ddcmd(fankeyboard(<37.3><111>),Q饭)	oqfj#序15548
$ddcmd(fnkeyboard(<37.2><111>),Q愤怒)	oqfn#序15547
$ddcmd(fwkeyboard(<37.2><111>),Q飞吻)	oqfw#序15546
$ddcmd(ggkeyboard(<37.2><111>),Q尴尬)	oqgg#序15545
$ddcmd(gzkeyboard(<37.2><111>),Q鼓掌)	oqgv#序15544
$ddcmd(gykeyboard(<37.2><111>),Q勾引)	oqgy#序15543
$ddcmd(yhhkeyboard(<37.3><111>),Q右哼哼)	oqhh#序15478
$ddcmd(zhhkeyboard(<37.3><111>),Q左哼哼)	oqhh#序15479
$ddcmd(hqkeyboard(<37.2><111>),Q哈欠)	oqhq#序15475
$ddcmd(htkeyboard(<37.2><111>),Q回头)	oqht#序15487
$ddcmd(hshkeyboard(<37.3><111>),Q挥手)	oqhu#序15485
$ddcmd(hanxkeyboard(<37.4><111>),Q憨笑)	oqhx#序15542
$ddcmd(huaixkeyboard(<37.5><111>),Q坏笑)	oqhx#序15541
$ddcmd(hxkeyboard(<37.2><111>),Q害羞)	oqhx#序15540
$ddcmd(cjkeyboard(<37.2><111>),Q差劲)	oqij#序15539
$ddcmd(jdkeyboard(<37.2><111>),Q激动)	oqjd#序15484
$ddcmd(jiekeyboard(<37.3><111>),Q饥饿)	oqje#序15538
$ddcmd(jkkeyboard(<37.2><111>),Q惊恐)	oqjk#序15537
$ddcmd(jwkeyboard(<37.2><111>),Q街舞)	oqjw#序15483
$ddcmd(jykeyboard(<37.2><111>),Q惊讶)	oqjy#序15536
$ddcmd(kakeyboard(<37.2><111>),Q可爱)	oqka#序15535
$ddcmd(kbkeyboard(<37.2><111>),Q抠鼻)	oqkb#序15534
$ddcmd(kfkeyboard(<37.2><111>),Q咖啡)	oqkf#序15533
$ddcmd(kelkeyboard(<37.3><111>),Q可怜)	oqkl#序15532
$ddcmd(klkeyboard(<37.2><111>),Q骷髅)	oqkl#序15531
$ddcmd(ktkeyboard(<37.2><111>),Q磕头)	oqkt#序15488
$ddcmd(kukkeyboard(<37.3><111>),Q酷)	oqku#序15530
$ddcmd(kunkeyboard(<37.3><111>),Q困)	oqky#序15529
$ddcmd(lenghkeyboard(<37.5><111>),Q冷汗)	oqlh#序15527
$ddcmd(lhkeyboard(<37.2><111>),Q流汗)	oqlh#序15528
$ddcmd(llkeyboard(<37.2><111>),Q流泪)	oqll#序15526
$ddcmd(lwkeyboard(<37.2><111>),Q礼物)	oqlw#序15525
$ddcmd(mgkeyboard(<37.2><111>),Q玫瑰)	oqmg#序15524
$ddcmd(ngkeyboard(<37.2><111>),Q难过)	oqng#序15523
$ddcmd(nokeyboard(<37.2><111>),Q NO)	oqno#序15522
